"name","title","q_tracks","rank"
A Cor Do Som,,0,1
AC/DC,For Those About To Rock We Salute You,10,1
AC/DC,Let There Be Rock,8,2
Aaron Copland & London Symphony Orchestra,"A Copland Celebration, Vol. I",1,1
Aaron Goldberg,Worlds,1,1
Academy of St. Martin in the Fields & Sir Neville Marriner,The World of Classical Favourites,2,1
Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,Sir Neville Marriner: A Celebration,1,1
"Academy of St. Martin in the Fields, John Birch, Sir Neville Marriner & Sylvia McNair","Fauré: Requiem, Ravel: Pavane & Others",1,1
"Academy of St. Martin in the Fields, Sir Neville Marriner & Thurston Dart",Bach: Orchestral Suites Nos. 1 - 4,1,1
"Academy of St. Martin in the Fields, Sir Neville Marriner & William Bennett",,0,1
Accept,Restless and Wild,3,1
Accept,Balls to the Wall,1,2
Adrian Leaper & Doreen de Feis,Górecki: Symphony No. 3,1,1
Aerosmith,Big Ones,15,1
Aerosmith & Sierra Leone's Refugee Allstars,,0,1
Aisha Duo,Quiet Songs,2,1
Alanis Morissette,Jagged Little Pill,13,1
Alberto Turco & Nova Schola Gregoriana,Adorate Deum: Gregorian Chant from the Proper of the Mass,1,1
Alice In Chains,Facelift,12,1
Amy Winehouse,Back to Black,12,1
Amy Winehouse,Frank,11,2
"Anne-Sophie Mutter, Herbert Von Karajan & Wiener Philharmoniker",Vivaldi: The Four Seasons,1,1
Antal Doráti & London Symphony Orchestra,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory",1,1
Antônio Carlos Jobim,Chill: Brazil (Disc 2),17,1
Antônio Carlos Jobim,Warner 25 Anos,14,2
Apocalyptica,Plays Metallica By Four Cellos,8,1
Aquaman,Aquaman,1,1
Audioslave,Revelations,14,1
Audioslave,Audioslave,14,1
Audioslave,Out Of Exile,12,3
Avril Lavigne,,0,1
Azymuth,,0,1
Baby Consuelo,,0,1
BackBeat,BackBeat Soundtrack,12,1
Banda Black Rio,,0,1
Barry Wordsworth & BBC Concert Orchestra,The Last Night of the Proms,1,1
Barão Vermelho,,0,1
Battlestar Galactica,"Battlestar Galactica, Season 3",19,1
Battlestar Galactica,Battlestar Galactica: The Story So Far,1,2
Battlestar Galactica (Classic),"Battlestar Galactica (Classic), Season 1",24,1
Bebel Gilberto,,0,1
Ben Harper,,0,1
Berliner Philharmoniker & Hans Rosbaud,Sibelius: Finlandia,1,1
Berliner Philharmoniker & Herbert Von Karajan,Grieg: Peer Gynt Suites & Sibelius: Pelléas et Mélisande,1,1
Berliner Philharmoniker & Herbert Von Karajan,Mozart: Symphonies Nos. 40 & 41,1,1
Berliner Philharmoniker & Herbert Von Karajan,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps,1,1
"Berliner Philharmoniker, Claudio Abbado & Sabine Meyer",Mozart: Wind Concertos,1,1
Big & Rich,,0,1
Billy Cobham,The Best Of Billy Cobham,8,1
Black Eyed Peas,,0,1
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 1],13,1
Black Label Society,Alcohol Fueled Brewtality Live! [Disc 2],5,2
Black Sabbath,Black Sabbath Vol. 4 (Remaster),10,1
Black Sabbath,Black Sabbath,7,2
Body Count,Body Count,17,1
Boston Symphony Orchestra & Seiji Ozawa,Carmina Burana,1,1
"Britten Sinfonia, Ivor Bolton & Lesley Garrett",A Soprano Inspired,1,1
Bruce Dickinson,Chemical Wedding,11,1
Buddy Guy,The Best Of Buddy Guy - The Millenium Collection,11,1
"C. Monteverdi, Nigel Rogers - Chiaroscuro; London Baroque; London Cornett & Sackbu",Monteverdi: L'Orfeo,1,1
Caetano Veloso,Prenda Minha,18,1
Caetano Veloso,Sozinho Remix Ao Vivo,3,2
Cake,Cake: B-Sides and Rarities,1,1
Calexico,Carried to Dust (Bonus Track Version),1,1
Charles Dutoit & L'Orchestre Symphonique de Montréal,The Ultimate Relexation Album,1,1
Charlie Brown Jr.,,0,1
"Chicago Symphony Chorus, Chicago Symphony Orchestra & Sir Georg Solti",Great Opera Choruses,1,1
Chicago Symphony Orchestra & Fritz Reiner,Scheherazade,1,1
Chico Buarque,Minha Historia,34,1
Chico Science & Nação Zumbi,Afrociberdelia,23,1
Chico Science & Nação Zumbi,Da Lama Ao Caos,13,2
Choir Of Westminster Abbey & Simon Preston,Palestrina: Missa Papae Marcelli & Allegri: Miserere,1,1
"Chor der Wiener Staatsoper, Herbert Von Karajan & Wiener Philharmoniker",Bizet: Carmen Highlights,1,1
Chris Cornell,Carry On,14,1
Christina Aguilera featuring BigElf,,0,1
Christopher O'Riley,SCRIABIN: Vers la flamme,1,1
Cidade Negra,Acústico MTV [Live],17,1
Cidade Negra,Cidade Negra - Hits,14,2
Cláudio Zoli,Na Pista,10,1
Corinne Bailey Rae,,0,1
Creedence Clearwater Revival,"Chronicle, Vol. 2",20,1
Creedence Clearwater Revival,"Chronicle, Vol. 1",20,1
Cássia Eller,Cássia Eller - Coleção Sem Limite [Disc 2],15,1
Cássia Eller,Cássia Eller - Sem Limite [Disc 1],15,1
DJ Dolores & Orchestra Santa Massa,,0,1
David Coverdale,Into The Light,12,1
Deep Purple,Purpendicular,12,1
Deep Purple,Knocking at Your Back Door: The Best Of Deep Purple in the 80's,11,2
Deep Purple,The Battle Rages On,10,3
Deep Purple,Come Taste The Band,9,4
Deep Purple,Stormbringer,9,4
Deep Purple,Slaves And Masters,9,4
Deep Purple,Deep Purple In Rock,7,7
Deep Purple,Machine Head,7,7
Deep Purple,MK III The Final Concerts [Disc 1],7,7
Deep Purple,Fireball,7,7
Deep Purple,The Final Concerts (Disc 2),4,11
Def Leppard,Vault: Def Leppard's Greatest Hits,16,1
Dennis Chambers,Outbreak,9,1
Dhani Harrison & Jakob Dylan,,0,1
Djavan,Djavan Ao Vivo - Vol. 1,13,1
Djavan,Djavan Ao Vivo - Vol. 02,13,1
Dread Zeppelin,Un-Led-Ed,1,1
Ed Motta,The Best of Ed Motta,14,1
Edo de Waart & San Francisco Symphony,"Adams, John: The Chairman Dances",1,1
"Edson, DJ Marky & DJ Patife Featuring Fernanda Porto",,0,1
Elis Regina,Elis Regina-Minha História,14,1
"Emanuel Ax, Eugene Ormandy & Philadelphia Orchestra",Chopin: Piano Concertos Nos. 1 & 2,1,1
Emerson String Quartet,Schubert: The Late String Quartets & String Quintet (3 CD's),1,1
English Concert & Trevor Pinnock,Handel: Music for the Royal Fireworks (Original Version 1749),1,1
English Concert & Trevor Pinnock,Pachelbel: Canon & Gigue,1,1
"Equale Brass Ensemble, John Eliot Gardiner & Munich Monteverdi Orchestra and Choir",Purcell: Music for the Queen Mary,1,1
Eric Clapton,Unplugged,30,1
Eric Clapton,The Cream Of Clapton,18,2
Eugene Ormandy,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies",1,1
Eugene Ormandy,Respighi:Pines of Rome,1,1
Eugene Ormandy,Strauss: Waltzes,1,1
Faith No More,King For A Day Fool For A Lifetime,15,1
Faith No More,Angel Dust,14,2
Faith No More,Album Of The Year,12,3
Faith No More,The Real Thing,11,4
Falamansa,Deixa Entrar,14,1
"Felix Schmidt, London Symphony Orchestra & Rafael Frühbeck de Burgos",Elgar: Cello Concerto & Vaughan Williams: Fantasias,1,1
Fernanda Porto,,0,1
Foo Fighters,The Colour And The Shape,13,1
Foo Fighters,One By One,11,2
Foo Fighters,In Your Honor [Disc 1],10,3
Foo Fighters,In Your Honor [Disc 2],10,3
Frank Sinatra,My Way: The Best Of Frank Sinatra [Disc 1],24,1
Frank Zappa & Captain Beefheart,Bongo Fury,9,1
Fretwork,Armada: Music from the Courts of England and Spain,1,1
Funk Como Le Gusta,Roda De Funk,16,1
Gene Krupa,Up An' Atom,22,1
Gerald Moore,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",1,1
Gilberto Gil,Quanta Gente Veio Ver (Live),15,1
Gilberto Gil,As Canções de Eu Tu Eles,14,2
Gilberto Gil,Quanta Gente Veio ver--Bônus De Carnaval,3,3
Godsmack,Faceless,12,1
Gonzaguinha,Meus Momentos,14,1
Green Day,International Superhits,21,1
Green Day,American Idiot,13,2
Guns N' Roses,Use Your Illusion I,16,1
Guns N' Roses,Use Your Illusion II,14,2
Guns N' Roses,Appetite for Destruction,12,3
Gustav Mahler,Great Recordings of the Century - Mahler: Das Lied von der Erde,1,1
Gustavo & Andres Veiga & Salazar,,0,1
Göteborgs Symfoniker & Neeme Järvi,Nielsen: The Six Symphonies,1,1
Habib Koité and Bamada,Muso Ko,2,1
"Herbert Von Karajan, Mirella Freni & Wiener Philharmoniker",Puccini: Madama Butterfly - Highlights,1,1
Hermeto Pascoal,,0,1
Heroes,"Heroes, Season 1",23,1
"Hilary Hahn, Jeffrey Kahane, Los Angeles Chamber Orchestra & Margaret Batjer",Bach: Violin Concertos,1,1
House Of Pain,House of Pain,19,1
Incognito,Blue Moods,13,1
Instituto,,0,1
Iron Maiden,Live After Death,18,1
Iron Maiden,A Real Dead One,12,2
Iron Maiden,Fear Of The Dark,12,2
Iron Maiden,A Matter of Life and Death,11,4
Iron Maiden,The X Factor,11,4
Iron Maiden,A Real Live One,11,4
Iron Maiden,Dance Of Death,11,4
Iron Maiden,Killers,10,8
Iron Maiden,Brave New World,10,8
Iron Maiden,Live At Donington 1992 (Disc 2),10,8
Iron Maiden,Rock In Rio [CD1],10,8
Iron Maiden,No Prayer For The Dying,10,8
Iron Maiden,Live At Donington 1992 (Disc 1),10,8
Iron Maiden,Iron Maiden,9,14
Iron Maiden,Rock In Rio [CD2],9,14
Iron Maiden,Piece Of Mind,9,14
Iron Maiden,Somewhere in Time,8,17
Iron Maiden,Virtual XI,8,17
Iron Maiden,The Number of The Beast,8,17
Iron Maiden,Seventh Son of a Seventh Son,8,17
Iron Maiden,Powerslave,8,17
Itzhak Perlman,Great Recordings of the Century: Paganini's 24 Caprices,1,1
JET,Get Born,13,1
Jack Johnson,,0,1
Jack's Mannequin & Mick Fleetwood,,0,1
Jackson Browne,,0,1
Jaguares,,0,1
