"invoice_id","total","diferencia_total"
1,1.98,
2,3.96,1.98
3,5.94,1.98
4,8.91,2.97
5,13.86,4.95
6,0.99,-12.87
7,1.98,0.99
8,1.98,0.00
9,3.96,1.98
10,5.94,1.98
11,8.91,2.97
12,13.86,4.95
13,0.99,-12.87
14,1.98,0.99
15,1.98,0.00
16,3.96,1.98
17,5.94,1.98
18,8.91,2.97
19,13.86,4.95
20,0.99,-12.87
21,1.98,0.99
22,1.98,0.00
23,3.96,1.98
24,5.94,1.98
25,8.91,2.97
26,13.86,4.95
27,0.99,-12.87
28,1.98,0.99
29,1.98,0.00
30,3.96,1.98
31,5.94,1.98
32,8.91,2.97
33,13.86,4.95
34,0.99,-12.87
35,1.98,0.99
36,1.98,0.00
37,3.96,1.98
38,5.94,1.98
39,8.91,2.97
40,13.86,4.95
41,0.99,-12.87
42,1.98,0.99
43,1.98,0.00
44,3.96,1.98
45,5.94,1.98
46,8.91,2.97
47,13.86,4.95
48,0.99,-12.87
49,1.98,0.99
50,1.98,0.00
51,3.96,1.98
52,5.94,1.98
53,8.91,2.97
54,13.86,4.95
55,0.99,-12.87
56,1.98,0.99
57,1.98,0.00
58,3.96,1.98
59,5.94,1.98
60,8.91,2.97
61,13.86,4.95
62,0.99,-12.87
63,1.98,0.99
64,1.98,0.00
65,3.96,1.98
66,5.94,1.98
67,8.91,2.97
68,13.86,4.95
69,0.99,-12.87
70,1.98,0.99
71,1.98,0.00
72,3.96,1.98
73,5.94,1.98
74,8.91,2.97
75,13.86,4.95
76,0.99,-12.87
77,1.98,0.99
78,1.98,0.00
79,3.96,1.98
80,5.94,1.98
81,8.91,2.97
82,13.86,4.95
83,0.99,-12.87
84,1.98,0.99
85,1.98,0.00
86,3.96,1.98
87,6.94,2.98
88,17.91,10.97
89,18.86,0.95
90,0.99,-17.87
91,1.98,0.99
92,1.98,0.00
93,3.96,1.98
94,5.94,1.98
95,8.91,2.97
96,21.86,12.95
97,1.99,-19.87
98,3.98,1.99
99,3.98,0.00
100,3.96,-0.02
101,5.94,1.98
102,9.91,3.97
103,15.86,5.95
104,0.99,-14.87
105,1.98,0.99
106,1.98,0.00
107,3.96,1.98
108,5.94,1.98
109,8.91,2.97
110,13.86,4.95
111,0.99,-12.87
112,1.98,0.99
113,1.98,0.00
114,3.96,1.98
115,5.94,1.98
116,8.91,2.97
117,13.86,4.95
118,0.99,-12.87
119,1.98,0.99
120,1.98,0.00
121,3.96,1.98
122,5.94,1.98
123,8.91,2.97
124,13.86,4.95
125,0.99,-12.87
126,1.98,0.99
127,1.98,0.00
128,3.96,1.98
129,5.94,1.98
130,8.91,2.97
131,13.86,4.95
132,0.99,-12.87
133,1.98,0.99
134,1.98,0.00
135,3.96,1.98
136,5.94,1.98
137,8.91,2.97
138,13.86,4.95
139,0.99,-12.87
140,1.98,0.99
141,1.98,0.00
142,3.96,1.98
143,5.94,1.98
144,8.91,2.97
145,13.86,4.95
146,0.99,-12.87
147,1.98,0.99
148,1.98,0.00
149,3.96,1.98
150,5.94,1.98
151,8.91,2.97
152,13.86,4.95
153,0.99,-12.87
154,1.98,0.99
155,1.98,0.00
156,3.96,1.98
157,5.94,1.98
158,8.91,2.97
159,13.86,4.95
160,0.99,-12.87
161,1.98,0.99
162,1.98,0.00
163,3.96,1.98
164,5.94,1.98
165,8.91,2.97
166,13.86,4.95
167,0.99,-12.87
168,1.98,0.99
169,1.98,0.00
170,3.96,1.98
171,5.94,1.98
172,8.91,2.97
173,13.86,4.95
174,0.99,-12.87
175,1.98,0.99
176,1.98,0.00
177,3.96,1.98
178,5.94,1.98
179,8.91,2.97
180,13.86,4.95
181,0.99,-12.87
182,1.98,0.99
183,1.98,0.00
184,3.96,1.98
185,5.94,1.98
186,8.91,2.97
187,13.86,4.95
188,0.99,-12.87
189,1.98,0.99
190,1.98,0.00
191,3.96,1.98
192,5.94,1.98
193,14.91,8.97
194,21.86,6.95
195,0.99,-20.87
196,1.98,0.99
197,1.98,0.00
198,3.96,1.98
199,5.94,1.98
200,8.91,2.97
201,18.86,9.95
202,1.99,-16.87
203,2.98,0.99
204,3.98,1.00
205,7.96,3.98
206,8.94,0.98
207,8.91,-0.03
208,15.86,6.95
209,0.99,-14.87
210,1.98,0.99
211,1.98,0.00
212,3.96,1.98
213,5.94,1.98
214,8.91,2.97
215,13.86,4.95
216,0.99,-12.87
217,1.98,0.99
218,1.98,0.00
219,3.96,1.98
220,5.94,1.98
221,8.91,2.97
222,13.86,4.95
223,0.99,-12.87
224,1.98,0.99
225,1.98,0.00
226,3.96,1.98
227,5.94,1.98
228,8.91,2.97
229,13.86,4.95
230,0.99,-12.87
231,1.98,0.99
232,1.98,0.00
233,3.96,1.98
234,5.94,1.98
235,8.91,2.97
236,13.86,4.95
237,0.99,-12.87
238,1.98,0.99
239,1.98,0.00
240,3.96,1.98
241,5.94,1.98
242,8.91,2.97
243,13.86,4.95
244,0.99,-12.87
245,1.98,0.99
246,1.98,0.00
247,3.96,1.98
248,5.94,1.98
249,8.91,2.97
250,13.86,4.95
251,0.99,-12.87
252,1.98,0.99
253,1.98,0.00
254,3.96,1.98
255,5.94,1.98
256,8.91,2.97
257,13.86,4.95
258,0.99,-12.87
259,1.98,0.99
260,1.98,0.00
261,3.96,1.98
262,5.94,1.98
263,8.91,2.97
264,13.86,4.95
265,0.99,-12.87
266,1.98,0.99
267,1.98,0.00
268,3.96,1.98
269,5.94,1.98
270,8.91,2.97
271,13.86,4.95
272,0.99,-12.87
273,1.98,0.99
274,1.98,0.00
275,3.96,1.98
276,5.94,1.98
277,8.91,2.97
278,13.86,4.95
279,0.99,-12.87
280,1.98,0.99
281,1.98,0.00
282,3.96,1.98
283,5.94,1.98
284,8.91,2.97
285,13.86,4.95
286,0.99,-12.87
287,1.98,0.99
288,1.98,0.00
289,3.96,1.98
290,5.94,1.98
291,8.91,2.97
292,13.86,4.95
293,0.99,-12.87
294,1.98,0.99
295,1.98,0.00
296,3.96,1.98
297,5.94,1.98
298,10.91,4.97
299,23.86,12.95
300,0.99,-22.87
301,1.98,0.99
302,1.98,0.00
303,3.96,1.98
304,5.94,1.98
305,8.91,2.97
306,16.86,7.95
307,1.99,-14.87
308,3.98,1.99
309,3.98,0.00
310,7.96,3.98
