"nombre_artista","genero","numero_pistas"
Audioslave,Alternative,14
Chris Cornell,Alternative,14
Titãs,Alternative & Punk,38
Eric Clapton,Blues,32
Toquinho & Vinícius,Bossa Nova,15
Berliner Philharmoniker & Herbert Von Karajan,Classical,3
Eugene Ormandy,Classical,3
The Office,Comedy,17
Lost,Drama,44
Frank Sinatra,Easy Listening,24
O Rappa,Electronica/Dance,17
Iron Maiden,Heavy Metal,28
House Of Pain,Hip Hop/Rap,19
Miles Davis,Jazz,37
Os Paralamas Do Sucesso,Latin,49
Metallica,Metal,112
"Sir Georg Solti, Sumi Jo & Wiener Philharmoniker",Opera,1
U2,Pop,23
James Brown,R&B/Soul,20
Cidade Negra,Reggae,31
Led Zeppelin,Rock,114
BackBeat,Rock And Roll,12
Battlestar Galactica (Classic),Sci Fi & Fantasy,24
Battlestar Galactica,Science Fiction,13
Various Artists,Soundtrack,14
Passengers,Soundtrack,14
Gilberto Gil,Soundtrack,14
Lost,TV Shows,48
João Suplicy,World,14
