"title","sum"
"Lost, Season 3",70665582
"Battlestar Galactica (Classic), Season 1",70213784
"Lost, Season 1",64854936
"Lost, Season 2",63289631
"Heroes, Season 1",59780268
"Battlestar Galactica, Season 3",52787041
"LOST, Season 4",39468433
"The Office, Season 3",38317095
"The Office, Season 2",28636206
Greatest Hits,15065731
Unplugged,8113276
"The Office, Season 1",7975164
Minha Historia,7875643
Live After Death,5827856
Instant Karma: The Amnesty International Campaign to Save Darfur,5134886
A Matter of Life and Death,4755239
A-Sides,4752029
Load,4738605
BBC Sessions [Disc 2] [Live],4699108
"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",4652740
Up An' Atom,4637011
The Essential Miles Davis [Disc 1],4597570
My Generation - The Very Best Of The Who,4580064
Greatest Kiss,4575025
Jorge Ben Jor 25 Anos,4571265
Use Your Illusion I,4567332
ReLoad,4566304
Greatest Hits II,4558541
Use Your Illusion II,4557211
Retrospective I (1974-1980),4548694
My Way: The Best Of Frank Sinatra [Disc 1],4539941
Acústico MTV,4523796
St. Anger,4507057
Supernatural,4500551
"Chronicle, Vol. 2",4499818
BBC Sessions [Disc 1] [Live],4489920
Rotten Apples: Greatest Hits,4450707
Blood Sugar Sex Magik,4437073
Motley Crue Greatest Hits,4435165
Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,4428843
Blue Moods,4421323
Big Ones,4411709
Vault: Def Leppard's Greatest Hits,4401077
The Essential Miles Davis [Disc 2],4398808
Sambas De Enredo 2001,4388174
The Cream Of Clapton,4373202
Tribute,4372837
"The Best Of Van Halen, Vol. I",4349980
Rattle And Hum,4348126
Acústico,4312233
Santana - As Years Go By,4303879
Live On Two Legs [Live],4278954
The X Factor,4267801
Garage Inc. (Disc 2),4251893
Afrociberdelia,4238776
Chill: Brazil (Disc 2),4221459
Speak of the Devil,4215305
Judas 0: B-Sides and Rarities,4211532
Sex Machine,4211242
Roda De Funk,4165844
Mais Do Mesmo,4144347
By The Way,4129951
"Chronicle, Vol. 1",4086691
Dance Of Death,4083559
No Security,4072169
Ao Vivo [IMPORT],4065140
Alcohol Fueled Brewtality Live! [Disc 1],4059919
Santana Live,4043543
Tangents,4033036
[1997] Black Light Syndrome,4030534
A TempestadeTempestade Ou O Livro Dos Dias,4022509
Brave New World,4021860
Living After Midnight,3973111
The Return Of The Space Cowboy,3967524
Garage Inc. (Disc 1),3946339
Acústico MTV [Live],3941268
The Best Of 1980-1990,3935916
New Adventures In Hi-Fi,3933120
...And Justice For All,3928993
Audioslave,3927713
Carnaval 2001,3926015
Van Halen III,3923402
Quanta Gente Veio Ver (Live),3917106
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,3876071
The Singles,3864679
Prenda Minha,3819382
Black Album,3759224
Purpendicular,3749220
Voodoo Lounge,3730984
The Final Concerts (Disc 2),3728376
Angel Dust,3709719
Chill: Brazil (Disc 1),3701306
Chemical Wedding,3694022
Djavan Ao Vivo - Vol. 1,3658206
Walking Into Clarksdale,3649040
International Superhits,3645509
Djavan Ao Vivo - Vol. 02,3626756
Live At Donington 1992 (Disc 2),3621377
Into The Light,3618267
Are You Experienced?,3618056
Arquivo Os Paralamas Do Sucesso,3615574
Pop,3612572
B-Sides 1980-1990,3594885
Compositores,3594651
King For A Day Fool For A Lifetime,3589791
A Real Dead One,3587182
Rock In Rio [CD2],3584753
The Police Greatest Hits,3578900
The Best Of R.E.M.: The IRS Years,3570407
A Real Live One,3537994
UB40 The Best Of - Volume Two [UK],3523466
Fear Of The Dark,3517930
Greatest Hits I,3508522
Revelations,3503638
Heart of the Night,3497581
Original Soundtracks 1,3489692
Seek And Shall Find: More Of The Best (1963-1981),3488122
MK III The Final Concerts [Disc 1],3484627
Cássia Eller - Sem Limite [Disc 1],3483867
Jagged Little Pill,3450925
"20th Century Masters - The Millennium Collection: The Best of Scorpions",3448442
Outbreak,3440820
American Idiot,3437890
Cidade Negra - Hits,3435043
Barulhinho Bom,3433813
Volume Dois,3420285
Contraband,3417071
The Best of Ed Motta,3409704
Unplugged [Live],3405368
Cássia Eller - Coleção Sem Limite [Disc 2],3395232
Rock In Rio [CD1],3386588
Californication,3385461
Minha História,3351947
Achtung Baby,3328489
Emergency On Planet Earth,3327211
The Real Thing,3325748
Temple of the Dog,3316905
Lulu Santos - RCA 100 Anos De Música - Álbum 02,3314460
One By One,3303622
Live [Disc 1],3299705
Vinícius De Moraes - Sem Limite,3293850
Carry On,3292399
Master Of Puppets,3286175
House of Pain,3269060
Riot Act,3256468
Vinicius De Moraes,3254721
Facelift,3249365
From The Muddy Banks Of The Wishkah [Live],3243381
Appetite for Destruction,3230986
Out Of Exile,3224237
Core,3218749
Ten,3205871
Virtual XI,3194615
Maquinarama,3193621
Body Count,3192389
Synkronized,3180664
Lulu Santos - RCA 100 Anos De Música - Álbum 01,3153886
Miles Ahead,3134243
Live At Donington 1992 (Disc 1),3105614
Minas,3102844
Elis Regina-Minha História,3095920
Somewhere in Time,3084379
Kill 'Em All,3080852
Cafezinho,3065723
Beyond Good And Evil,3062903
The Song Remains The Same (Disc 2),3037439
Powerslave,3036312
Frank,3035807
Zooropa,3023251
Olodum,3019828
The Battle Rages On,3018129
Da Lama Ao Caos,3016667
Jota Quest-1995,3016355
Pearl Jam,2983857
Transmission,2973541
Os Cães Ladram Mas A Caravana Não Pára,2967110
Live [Disc 2],2966383
All That You Can't Leave Behind,2964604
How To Dismantle An Atomic Bomb,2949351
The Song Remains The Same (Disc 1),2943971
Meus Momentos,2935452
Get Born,2919830
Warner 25 Anos,2906926
Serie Sem Limite (Disc 2),2894883
As Canções de Eu Tu Eles,2886236
Vozes do MPB,2858678
Ride The Lightning,2850688
Faceless,2846138
Deixa Entrar,2842456
Raul Seixas,2833311
Axé Bahia 2001,2822944
The Colour And The Shape,2815290
Milton Nascimento Ao Vivo,2815263
Slaves And Masters,2815003
Vs.,2777674
Piece Of Mind,2752884
Ace Of Spades,2735483
O Samba Poconé,2694369
Led Zeppelin I,2690399
The Best Of Billy Cobham,2680524
Plays Metallica By Four Cellos,2671407
The Doors,2669734
Presence,2668613
No Prayer For The Dying,2652573
Out Of Time,2650117
Demorou...,2645702
Seventh Son of a Seventh Son,2641785
The Best Of Buddy Guy - The Millenium Collection,2636849
Battlestar Galactica: The Story So Far,2622250
Serie Sem Limite (Disc 1),2620336
Physical Graffiti [Disc 2],2619555
The Best Of Men At Work,2602784
Black Sabbath Vol. 4 (Remaster),2601921
In Your Honor [Disc 2],2596358
Album Of The Year,2586640
Led Zeppelin III,2580189
Dark Side Of The Moon,2572638
Na Pista,2559734
IV,2557462
Nevermind,2557066
In Through The Out Door,2555478
The Beast Live,2547615
Back to Black,2544050
Deep Purple In Rock,2535756
War,2529903
Arquivo II,2507828
Led Zeppelin II,2498869
Aquaman,2484567
Misplaced Childhood,2477370
Morning Dance,2476665
In Step,2468671
Bongo Fury,2465929
Green,2462010
Houses Of The Holy,2454435
Let There Be Rock,2453259
Iron Maiden,2446938
The Number of The Beast,2413815
In Your Honor [Disc 1],2409295
For Those About To Rock We Salute You,2400415
News Of The World,2361438
Fireball,2359767
Physical Graffiti [Disc 1],2344853
Killers,2323691
"Hot Rocks, 1964-1971 (Disc 1)",2311283
Black Sabbath,2294801
Surfing with the Alien (Remastered),2259724
Machine Head,2258595
