"nombre_color","nombre_set","set_num"
Aqua,Clikits Bracelet Sample Set,"1385-1"
Aqua,Chill Speeder,"4742-1"
Aqua,Iron Skull Sub Attack,"76048-1"
Aqua,Beautiful Baby Princess,"5836-1"
Aqua,Designer Desk Set,"7528-1"
Aqua,Cheshire Cat,"71012-8"
Aqua,Totally Tropical Decor Set,"7549-1"
Aqua,The Ultimate Jewelry Collection,"7531-1"
Aqua,Fun Flamingo Frames 'n' More,"7548-1"
Aqua,Large Creator Bucket,"4405-1"
Aqua,Pop Studio,"5942-1"
Aqua,Chamber of Secrets,"4730-1"
Aqua,Shoot 'n' Score - with ZIDANE / Adidas Minifig,"3401-2"
Aqua,Free 500 LEGO Bricks (Bonus box and its contents only),"4679b-2"
Aqua,Clay and Training Stand,NEX271712-1
Aqua,Bangle Minis,"7501-1"
Aqua,Trendy Tote Sky Blue,"7512-1"
Aqua,Advent Calendar 2004 Clikits (Day  6) Bangle,"7575-7"
Aqua,Trendy Tote Hot Pink,"7510-1"
Aqua,Friendship Frame / Mirror,"7504-1"
Aqua,The Royal Crystal Palace,"5850-1"
Aqua,The Mermaid Castle,"5960-1"
Aqua,Advent Calendar 2005 Clikits (Day 17) Icons,"7574-18"
Aqua,Accessories Star,"10118-1"
Aqua,Glamour Girl Purse,"7524-1"
Aqua,Advent Calendar 2004 Clikits (Day 13) Hair Band,"7575-14"
Aqua,Cat Show,"5944-1"
Aqua,Vanilla's Frosty Sleighride,"5842-1"
Aqua,Advent Calendar 2004 Clikits (Day 24) Carry Case,"7575-25"
Aqua,Accessories Heart,"10116-1"
Aqua,Monster Truck Transporter,"60027-1"
Aqua,Starry Decoration Set,"7530-1"
Aqua,Snow Queen,"5961-1"
Aqua,Queen Rose and the Little Prince Charming,"5843-1"
Aqua,Birthday Pack Star,"10083-1"
Aqua,Rebel A-wing Pilot,"5004408-1"
Aqua,Creations and Bricks {Red Tub},"4400-1"
Aqua,The Tinderbox,"5962-1"
Aqua,Creator Set,"4518-1"
Aqua,Mickey's Workshop,"10829-1"
Aqua,Pretty in Pink Jewels-n-More,"7533-1"
Aqua,Advent Calendar 2004 Clikits (Day 18) Paper Clip / Hair Clip,"7575-19"
Aqua,Pretty in Pink Beauty Set,"7527-1"
Aqua,Bears on the Beach,"5977-1"
Aqua,Tropical Breeze Jewels 'n' More,"7546-1"
Aqua,Advent Calendar 2004 Clikits (Day  7) Gift Tag with Icons,"7575-8"
Aqua,Jewels-n-Clips,"7509-1"
Aqua,My Starry Notes,"7526-1"
Black,Darth Maul,"6005188-1"
Black,Pick-up Truck,"6146-1"
Black,Advent Calendar 1998 Classic Basic (Day 19) Boat,"1298-20"
Black,Maggie Simpson,"71005-5"
Black,Fight on the Flying Wing,"7683-1"
Black,Amusement Park Hot Dog Van,"41129-1"
Black,Metroliner,"4558-1"
Black,Zesk,"8977-1"
Black,Motorbike,"3506-1"
Black,Lake-town Guard,"30216-1"
Black,Blue Player & Goal,"3557-1"
Black,Jump and Shoot (Kabaya Promotional),"3550-2"
Black,"1 x 1 and 1 x 2 Plates (cardboard box version)","521-1"
Black,River Response,"6451-1"
Black,Story Starter (Sample Set),"2000424-1"
Black,Baxter Robot Rampage,"79105-1"
Black,Wiley Fusebot,"71004-14"
Black,Hydro Racer / Swamp Boat,"8246-1"
Black,Hewkii (Kabaya Promotional),"8584-2"
Black,Danone Promotional Set: Boy,"2841-1"
Black,Buggy,"8048-1"
Black,Aero Tube Hanger,"7317-1"
Black,"LEGO Store Grand Opening Exclusive Set, Kenwood Towne Centre, Cincinnati, OH",Cincinnati-1
Black,Black Knight's Castle,"6086-1"
Black,Rainforest Animals,"31031-1"
Black,Classic Minifigure Graduation Set,"850935-1"
Black,The Dragon Sanctuary,"41178-1"
Black,Golden Die [TRU Exclusive],"4591715-1"
Black,Police Car - Blue Sticker Version,"7236-2"
Black,Connector Pegs,"9964-1"
Black,Shell Petrol Pump,"1256-1"
Black,Advent Calendar 2002 Creator (Day  4) Santa,"4524-5"
Black,Tiger,"30285-1"
Black,Go-Cart,"1762-1"
Black,Police Boat,"314-1"
Black,Mobile TV Studio,"6661-1"
Black,Victory Lap Raceway,"6395-1"
Black,Gigamesh G60,"3806-1"
Black,Rahaga Gaaki,"4868-1"
Black,Microcopter,"1280-1"
Black,Homing Spider Droid,"75077-1"
Black,Stunt Copter,"6515-1"
Black,Prison Tower Rescue,"7947-1"
Black,Advent Calendar 2003 Creator (Day 12) Snail,"4024-13"
Black,LEGO® DIMENSIONS™ Scooby-Doo™ Team Pack,"71206-1"
Black,LEGO® Star Wars™ Advent Calendar,"75097-1"
Black,Jungle Rescue Base,"41038-1"
Black,The Big Bang Theory,"21302-1"
Black,The Ostrich Race,"7570-1"
Black,Aerial Defense Unit,"8971-1"
Black,Macku (Kabaya Promotional),"8586-2"
Black,Sprint Racer,"6503-1"
Black,Limited Edition [Blue Tub],"5537-1"
Black,Fire and Ice Minifigure Accessory Set,"850913-1"
Black,Battle Pack Skeletons,"852272-1"
Black,Quad Bike,"42034-1"
Black,Small Bucket for Her,"345-2"
Black,Santa’s Workshop,"10245-1"
Black,Large Farm,"45007-1"
Black,Cargo Station,"4555-1"
Black,Zoo with Baseboard,"258-1"
Black,Metal Beard's Duel,"70807-1"
Black,Toa Vakama,"8601-1"
Black,Dump Truck,"7344-1"
Black,Maersk Line Container Truck,"1651-2"
Black,Backhoe,"6662-1"
Black,Advent Calendar 2005 City (Day 13) Crossing Gate,"7324-14"
