"year","numero_sets","piezas_totales","promedio_piezas_set"
1950,7,71,10.14
1953,4,66,16.50
1954,14,173,12.36
1955,27,1038,38.44
1956,11,222,20.18
1957,18,895,49.72
1958,42,1872,44.57
1959,4,65,16.25
1960,2,526,263.00
1961,16,1215,75.94
1962,38,3270,86.05
1963,13,600,46.15
1964,9,909,101.00
1965,10,1071,107.10
1966,86,3702,43.05
1967,19,2071,109.00
1968,24,3179,132.46
1969,68,4458,65.56
1970,29,2460,84.83
1971,45,3010,66.89
1972,38,3907,102.82
1973,65,7029,108.14
1974,39,4573,117.26
1975,31,4813,155.26
1976,66,10410,157.73
1977,92,8448,91.83
1978,73,10761,147.41
1979,82,8669,105.72
1980,88,11176,127.00
1981,75,7343,97.91
1982,76,5442,71.61
1983,55,6629,120.53
1984,73,7259,99.44
1985,131,17011,129.85
1986,121,14097,116.50
1987,206,14682,71.27
1988,67,9862,147.19
1989,111,11733,105.70
1990,82,17277,210.70
1991,105,17712,168.69
1992,108,13819,127.95
1993,108,16575,153.47
1994,119,17847,149.97
1995,126,23166,183.86
1996,142,29270,206.13
1997,189,25304,133.88
1998,311,46169,148.45
1999,290,32067,110.58
2000,292,34501,118.15
2001,290,35681,123.04
2002,404,52084,128.92
2003,357,66946,187.52
2004,338,52336,154.84
2005,299,66165,221.29
2006,261,70912,271.69
2007,271,74162,273.66
2008,309,82471,266.90
2009,367,80886,220.40
2010,393,95049,241.85
2011,439,82206,187.26
2012,537,94408,175.81
2013,545,110747,203.21
2014,592,125009,211.16
2015,586,137854,235.25
2016,587,155161,264.33
2017,291,78677,270.37
